,DNN,DNN_coord,DK_Wendland,DK_Gaussian,DK_Triangular,GP
rmse_train_median,0.27406494369061596,0.28008107675005145,0.37798544141750073,0.375604666527457,0.3731664164586071,7.251680777994142e-07
rmse_train_mean,0.2740430452508085,0.2887992565296295,0.3785142001914137,0.37416380042209496,0.3731279744172008,7.257030958842385e-07
rmse_train_std,0.00032078614771898975,0.022279385236570005,0.005589681140240475,0.006273257781094853,0.005118240010865458,1.3933841089441455e-08
mape_train_median,1.3765970268683092,1.4953622899165318,6.489604715864536,6.003706151707526,6.3133028085217555,1.9824600479931314e-05
mape_train_mean,1.495086799412194,1.6825509519204023,7.097154301781845,6.9781572970058505,6.973531595065507,2.4089279700452787e-05
mape_train_std,0.3072373283276741,0.4111111288072333,2.579104248148253,2.666337530509397,2.7083599982556343,1.3621164497931907e-05
rmse_test_median,0.25452937173934037,0.2626362021015236,0.3645736315341123,0.3582659836837082,0.3573902156200762,0.011770575420310559
rmse_test_mean,0.25447975290759384,0.26496203453061484,0.3655436558538433,0.35803513346293137,0.35738965802700406,0.011826512653510137
rmse_test_std,0.0006118812072302746,0.006297767389887071,0.007295273099606016,0.0064238730604032675,0.006146472213594506,0.0009632079919361861
mape_test_median,1.3408736852126246,1.4937288828029711,5.575522897502999,5.229090529713572,5.157674506462666,0.23098580506170882
mape_test_mean,2.015073307474949,2.0535243821834337,8.760306837851681,8.095681557608705,7.424206773804071,0.5465913718551867
mape_test_std,1.6152114078354305,1.1777564177884179,8.473540979079107,6.987375520477418,5.65617055026037,0.707609530788408
